particle	class
aligned_tom131_P0001.mrc	1
aligned_tom131_P0002.mrc	2
aligned_tom131_P0003.mrc	2
aligned_tom132_P0001.mrc	1
aligned_tom133_P0001.mrc	1
aligned_tom134_P0001.mrc	1
aligned_tom135_P0001.mrc	1
aligned_tom136_P0001.mrc	1
aligned_tom136_P0002.mrc	1
aligned_tom137_P0001.mrc	1
aligned_tom137_P0002.mrc	1
aligned_tom138_P0001.mrc	1
aligned_tom138_P0002.mrc	1
aligned_tom138_P0003.mrc	1
aligned_tom138_P0004.mrc	1
aligned_tom139_P0001.mrc	1
aligned_tom139_P0002.mrc	1
aligned_tom139_P0003.mrc	1
aligned_tom13_P0001.mrc	1
aligned_tom13_P0002.mrc	1
aligned_tom140_P0001.mrc	2
aligned_tom140_P0002.mrc	1
aligned_tom141_P0001.mrc	1
aligned_tom141_P0002.mrc	2
aligned_tom141_P0003.mrc	1
aligned_tom142_P0001.mrc	1
aligned_tom143_P0001.mrc	1
aligned_tom144_P0001.mrc	1
aligned_tom145_P0001.mrc	1
aligned_tom146_P0001.mrc	2
aligned_tom146_P0002.mrc	2
aligned_tom146_P0003.mrc	1
aligned_tom147_P0001.mrc	1
aligned_tom148_P0001.mrc	1
aligned_tom149_P0001.mrc	1
aligned_tom149_P0002.mrc	1
aligned_tom14_P0001.mrc	1
aligned_tom14_P0002.mrc	1
aligned_tom14_P0003.mrc	1
aligned_tom150_P0001.mrc	1
aligned_tom151_P0001.mrc	1
aligned_tom151_P0002.mrc	2
aligned_tom151_P0003.mrc	1
aligned_tom151_P0004.mrc	2
aligned_tom152_P0001.mrc	2
aligned_tom153_P0001.mrc	1
aligned_tom153_P0002.mrc	1
aligned_tom154_P0001.mrc	1
aligned_tom154_P0002.mrc	1
aligned_tom155_P0001.mrc	1
aligned_tom155_P0002.mrc	1
aligned_tom155_P0003.mrc	1
aligned_tom155_P0004.mrc	1
aligned_tom156_P0001.mrc	1
aligned_tom156_P0002.mrc	1
aligned_tom156_P0003.mrc	1
aligned_tom157_P0001.mrc	2
aligned_tom157_P0002.mrc	1
aligned_tom158_P0001.mrc	1
aligned_tom159_P0001.mrc	2
aligned_tom159_P0002.mrc	2
aligned_tom159_P0003.mrc	1
aligned_tom15_P0001.mrc	1
aligned_tom15_P0002.mrc	2
aligned_tom15_P0003.mrc	2
aligned_tom160_P0001.mrc	1
aligned_tom161_P0001.mrc	1
aligned_tom162_P0001.mrc	1
aligned_tom163_P0001.mrc	1
aligned_tom164_P0001.mrc	1
aligned_tom164_P0002.mrc	2
aligned_tom164_P0003.mrc	1
aligned_tom165_P0001.mrc	2
aligned_tom166_P0001.mrc	1
aligned_tom166_P0002.mrc	1
aligned_tom167_P0001.mrc	1
aligned_tom168_P0001.mrc	1
aligned_tom169_P0001.mrc	1
aligned_tom16_P0001.mrc	1
aligned_tom16_P0002.mrc	1
aligned_tom170_P0001.mrc	1
aligned_tom171_P0001.mrc	2
aligned_tom172_P0001.mrc	1
aligned_tom172_P0002.mrc	2
aligned_tom173_P0001.mrc	1
aligned_tom173_P0002.mrc	1
aligned_tom174_P0001.mrc	1
aligned_tom175_P0001.mrc	1
aligned_tom175_P0002.mrc	1
aligned_tom176_P0001.mrc	1
aligned_tom177_P0001.mrc	1
aligned_tom177_P0002.mrc	1
aligned_tom177_P0003.mrc	1
aligned_tom178_P0001.mrc	1
aligned_tom179_P0001.mrc	1
aligned_tom17_P0001.mrc	1
aligned_tom17_P0002.mrc	2
aligned_tom17_P0003.mrc	2
aligned_tom180_P0001.mrc	2
aligned_tom180_P0002.mrc	1
aligned_tom181_P0001.mrc	1
aligned_tom181_P0002.mrc	1
aligned_tom182_P0001.mrc	2
aligned_tom183_P0001.mrc	1
aligned_tom184_P0001.mrc	2
aligned_tom185_P0001.mrc	1
aligned_tom186_P0001.mrc	1
aligned_tom187_P0001.mrc	2
aligned_tom188_P0001.mrc	1
aligned_tom189_P0001.mrc	2
aligned_tom18_P0001.mrc	1
aligned_tom18_P0002.mrc	2
aligned_tom190_P0001.mrc	2
aligned_tom190_P0002.mrc	1
aligned_tom191_P0001.mrc	1
aligned_tom192_P0001.mrc	2
aligned_tom193_P0001.mrc	1
aligned_tom194_P0001.mrc	1
aligned_tom195_P0001.mrc	1
aligned_tom196_P0001.mrc	1
aligned_tom197_P0001.mrc	1
aligned_tom198_P0001.mrc	1
aligned_tom199_P0001.mrc	1
aligned_tom19_P0001.mrc	2
aligned_tom1_P0001.mrc	2
aligned_tom200_P0001.mrc	1
aligned_tom200_P0002.mrc	1
aligned_tom200_P0003.mrc	1
aligned_tom200_P0004.mrc	2
aligned_tom201_P0001.mrc	1
aligned_tom201_P0002.mrc	1
aligned_tom202_P0001.mrc	1
aligned_tom203_P0001.mrc	1
aligned_tom203_P0002.mrc	2
aligned_tom203_P0003.mrc	2
aligned_tom204_P0001.mrc	1
aligned_tom205_P0001.mrc	1
aligned_tom205_P0002.mrc	1
aligned_tom205_P0003.mrc	2
aligned_tom205_P0004.mrc	1
aligned_tom206_P0001.mrc	1
aligned_tom206_P0002.mrc	1
aligned_tom206_P0003.mrc	1
aligned_tom207_P0001.mrc	1
aligned_tom207_P0002.mrc	1
aligned_tom207_P0003.mrc	1
aligned_tom207_P0004.mrc	1
aligned_tom208_P0001.mrc	2
aligned_tom209_P0001.mrc	1
aligned_tom20_P0001.mrc	2
aligned_tom210_P0001.mrc	1
aligned_tom211_P0001.mrc	2
aligned_tom211_P0002.mrc	2
aligned_tom211_P0003.mrc	2
aligned_tom211_P0004.mrc	1
aligned_tom212_P0001.mrc	1
aligned_tom212_P0002.mrc	2
aligned_tom212_P0003.mrc	1
aligned_tom212_P0004.mrc	1
aligned_tom213_P0001.mrc	1
aligned_tom213_P0002.mrc	1
aligned_tom214_P0001.mrc	2
aligned_tom214_P0002.mrc	2
aligned_tom214_P0003.mrc	2
aligned_tom214_P0004.mrc	2
aligned_tom214_P0005.mrc	2
aligned_tom215_P0001.mrc	2
aligned_tom216_P0001.mrc	1
aligned_tom216_P0002.mrc	1
aligned_tom217_P0001.mrc	1
aligned_tom218_P0001.mrc	1
aligned_tom218_P0002.mrc	1
aligned_tom219_P0001.mrc	2
aligned_tom219_P0002.mrc	1
aligned_tom219_P0003.mrc	1
aligned_tom21_P0001.mrc	1
aligned_tom21_P0002.mrc	1
aligned_tom21_P0003.mrc	1
aligned_tom21_P0004.mrc	1
aligned_tom21_P0005.mrc	1
aligned_tom21_P0006.mrc	1
aligned_tom21_P0007.mrc	1
aligned_tom220_P0001.mrc	1
aligned_tom220_P0002.mrc	1
aligned_tom220_P0003.mrc	2
aligned_tom220_P0004.mrc	1
aligned_tom221_P0001.mrc	1
aligned_tom221_P0002.mrc	1
aligned_tom221_P0003.mrc	1
aligned_tom221_P0004.mrc	1
aligned_tom221_P0005.mrc	2
aligned_tom222_P0001.mrc	1
aligned_tom222_P0002.mrc	2
aligned_tom222_P0003.mrc	2
aligned_tom222_P0004.mrc	1
aligned_tom222_P0005.mrc	1
aligned_tom222_P0006.mrc	2
aligned_tom222_P0007.mrc	1
aligned_tom223_P0001.mrc	2
aligned_tom223_P0002.mrc	2
aligned_tom223_P0003.mrc	2
aligned_tom223_P0004.mrc	2
aligned_tom223_P0005.mrc	1
aligned_tom224_P0001.mrc	2
aligned_tom224_P0002.mrc	1
aligned_tom224_P0003.mrc	1
aligned_tom225_P0001.mrc	1
aligned_tom226_P0001.mrc	1
aligned_tom226_P0002.mrc	1
aligned_tom227_P0001.mrc	1
aligned_tom227_P0002.mrc	1
aligned_tom227_P0003.mrc	1
aligned_tom227_P0004.mrc	2
aligned_tom228_P0001.mrc	1
aligned_tom228_P0002.mrc	2
aligned_tom228_P0003.mrc	2
aligned_tom228_P0004.mrc	2
aligned_tom228_P0005.mrc	1
aligned_tom229_P0001.mrc	2
aligned_tom22_P0001.mrc	1
aligned_tom230_P0001.mrc	1
aligned_tom230_P0002.mrc	1
aligned_tom230_P0003.mrc	1
aligned_tom230_P0004.mrc	1
aligned_tom230_P0005.mrc	2
aligned_tom231_P0001.mrc	2
aligned_tom231_P0002.mrc	2
aligned_tom231_P0003.mrc	2
aligned_tom231_P0004.mrc	1
aligned_tom231_P0005.mrc	1
aligned_tom231_P0006.mrc	2
aligned_tom231_P0007.mrc	1
aligned_tom231_P0008.mrc	2
aligned_tom232_P0001.mrc	1
aligned_tom232_P0002.mrc	1
aligned_tom232_P0003.mrc	1
aligned_tom233_P0001.mrc	1
aligned_tom233_P0002.mrc	2
aligned_tom233_P0003.mrc	2
aligned_tom234_P0001.mrc	2
aligned_tom234_P0002.mrc	2
aligned_tom234_P0003.mrc	2
aligned_tom235_P0001.mrc	1
aligned_tom235_P0002.mrc	2
aligned_tom235_P0003.mrc	1
aligned_tom236_P0001.mrc	1
aligned_tom236_P0002.mrc	1
aligned_tom237_P0001.mrc	1
aligned_tom237_P0002.mrc	1
aligned_tom237_P0003.mrc	1
aligned_tom237_P0004.mrc	1
aligned_tom237_P0005.mrc	2
aligned_tom238_P0001.mrc	1
aligned_tom238_P0002.mrc	1
aligned_tom238_P0003.mrc	1
aligned_tom238_P0004.mrc	1
aligned_tom238_P0005.mrc	2
aligned_tom238_P0006.mrc	1
aligned_tom239_P0001.mrc	1
aligned_tom239_P0002.mrc	1
aligned_tom239_P0003.mrc	1
aligned_tom239_P0004.mrc	1
aligned_tom23_P0001.mrc	2
aligned_tom23_P0002.mrc	1
aligned_tom23_P0003.mrc	1
aligned_tom240_P0001.mrc	1
aligned_tom240_P0002.mrc	2
aligned_tom240_P0003.mrc	1
aligned_tom240_P0004.mrc	2
aligned_tom240_P0005.mrc	1
aligned_tom240_P0006.mrc	1
aligned_tom241_P0001.mrc	1
aligned_tom241_P0002.mrc	1
aligned_tom241_P0003.mrc	2
aligned_tom241_P0004.mrc	1
aligned_tom242_P0001.mrc	1
aligned_tom242_P0002.mrc	1
aligned_tom243_P0001.mrc	1
aligned_tom244_P0001.mrc	1
aligned_tom244_P0002.mrc	1
aligned_tom244_P0003.mrc	1
aligned_tom244_P0004.mrc	2
aligned_tom245_P0001.mrc	1
aligned_tom246_P0001.mrc	1
aligned_tom246_P0002.mrc	2
aligned_tom247_P0001.mrc	2
aligned_tom247_P0002.mrc	2
aligned_tom247_P0003.mrc	1
aligned_tom247_P0004.mrc	1
aligned_tom247_P0005.mrc	1
aligned_tom247_P0006.mrc	1
aligned_tom248_P0001.mrc	1
aligned_tom249_P0001.mrc	2
aligned_tom249_P0002.mrc	1
aligned_tom249_P0003.mrc	2
aligned_tom249_P0004.mrc	1
aligned_tom249_P0005.mrc	1
aligned_tom24_P0001.mrc	1
aligned_tom250_P0001.mrc	1
aligned_tom250_P0002.mrc	1
aligned_tom250_P0003.mrc	2
aligned_tom250_P0004.mrc	1
aligned_tom251_P0001.mrc	1
aligned_tom252_P0001.mrc	1
aligned_tom253_P0001.mrc	1
aligned_tom253_P0002.mrc	2
aligned_tom253_P0003.mrc	2
aligned_tom253_P0004.mrc	1
aligned_tom253_P0005.mrc	2
aligned_tom254_P0001.mrc	1
aligned_tom254_P0002.mrc	1
aligned_tom254_P0003.mrc	1
aligned_tom255_P0001.mrc	1
aligned_tom256_P0001.mrc	2
aligned_tom257_P0001.mrc	2
aligned_tom257_P0002.mrc	1
aligned_tom257_P0003.mrc	2
aligned_tom258_P0001.mrc	1
aligned_tom258_P0002.mrc	2
aligned_tom258_P0003.mrc	2
aligned_tom259_P0001.mrc	1
aligned_tom259_P0002.mrc	2
aligned_tom259_P0003.mrc	2
aligned_tom259_P0004.mrc	2
aligned_tom25_P0001.mrc	2
aligned_tom25_P0002.mrc	1
aligned_tom25_P0003.mrc	1
aligned_tom25_P0004.mrc	1
aligned_tom260_P0001.mrc	2
aligned_tom260_P0002.mrc	1
aligned_tom260_P0003.mrc	2
aligned_tom260_P0004.mrc	1
aligned_tom260_P0005.mrc	1
aligned_tom261_P0001.mrc	2
aligned_tom261_P0002.mrc	1
aligned_tom262_P0001.mrc	1
aligned_tom262_P0002.mrc	1
aligned_tom263_P0001.mrc	1
aligned_tom263_P0002.mrc	2
aligned_tom263_P0003.mrc	2
aligned_tom264_P0001.mrc	1
aligned_tom264_P0002.mrc	1
aligned_tom265_P0001.mrc	1
aligned_tom265_P0002.mrc	2
aligned_tom266_P0001.mrc	2
aligned_tom266_P0002.mrc	1
aligned_tom267_P0001.mrc	1
aligned_tom267_P0002.mrc	1
aligned_tom267_P0003.mrc	1
aligned_tom268_P0001.mrc	1
aligned_tom268_P0002.mrc	1
aligned_tom268_P0003.mrc	2
aligned_tom269_P0001.mrc	2
aligned_tom269_P0002.mrc	2
aligned_tom26_P0001.mrc	2
aligned_tom26_P0002.mrc	1
aligned_tom26_P0003.mrc	1
aligned_tom26_P0004.mrc	1
aligned_tom270_P0001.mrc	2
aligned_tom271_P0001.mrc	2
aligned_tom271_P0002.mrc	1
aligned_tom271_P0003.mrc	1
aligned_tom272_P0001.mrc	1
aligned_tom272_P0002.mrc	2
aligned_tom273_P0001.mrc	2
aligned_tom273_P0002.mrc	1
aligned_tom273_P0003.mrc	2
aligned_tom274_P0001.mrc	2
aligned_tom274_P0002.mrc	1
aligned_tom274_P0003.mrc	2
aligned_tom274_P0004.mrc	2
aligned_tom275_P0001.mrc	2
aligned_tom275_P0002.mrc	1
aligned_tom275_P0003.mrc	1
aligned_tom276_P0001.mrc	2
aligned_tom276_P0002.mrc	2
aligned_tom277_P0001.mrc	1
aligned_tom277_P0002.mrc	1
aligned_tom278_P0001.mrc	1
aligned_tom279_P0001.mrc	1
aligned_tom27_P0001.mrc	1
aligned_tom27_P0002.mrc	2
aligned_tom27_P0003.mrc	2
aligned_tom280_P0001.mrc	2
aligned_tom280_P0002.mrc	1
aligned_tom281_P0001.mrc	2
aligned_tom281_P0002.mrc	1
aligned_tom281_P0003.mrc	2
aligned_tom282_P0001.mrc	2
aligned_tom282_P0002.mrc	1
aligned_tom283_P0001.mrc	2
aligned_tom283_P0002.mrc	2
aligned_tom283_P0003.mrc	1
aligned_tom283_P0004.mrc	1
aligned_tom283_P0005.mrc	1
aligned_tom284_P0001.mrc	1
aligned_tom284_P0002.mrc	1
aligned_tom285_P0001.mrc	1
aligned_tom286_P0001.mrc	1
aligned_tom286_P0002.mrc	1
aligned_tom286_P0003.mrc	1
aligned_tom286_P0004.mrc	2
aligned_tom287_P0001.mrc	2
aligned_tom287_P0002.mrc	1
aligned_tom287_P0003.mrc	1
aligned_tom287_P0004.mrc	1
aligned_tom288_P0001.mrc	2
aligned_tom288_P0002.mrc	1
aligned_tom288_P0003.mrc	1
aligned_tom288_P0004.mrc	1
aligned_tom288_P0005.mrc	1
aligned_tom289_P0001.mrc	2
aligned_tom289_P0002.mrc	2
aligned_tom289_P0003.mrc	2
aligned_tom28_P0001.mrc	1
aligned_tom290_P0001.mrc	2
aligned_tom290_P0002.mrc	2
aligned_tom290_P0003.mrc	1
aligned_tom290_P0004.mrc	1
aligned_tom291_P0001.mrc	1
aligned_tom291_P0002.mrc	1
aligned_tom291_P0003.mrc	1
aligned_tom291_P0004.mrc	1
aligned_tom291_P0005.mrc	2
aligned_tom291_P0006.mrc	2
aligned_tom291_P0007.mrc	1
aligned_tom292_P0001.mrc	2
aligned_tom292_P0002.mrc	1
aligned_tom292_P0003.mrc	2
aligned_tom292_P0004.mrc	1
aligned_tom292_P0005.mrc	1
aligned_tom292_P0006.mrc	2
aligned_tom292_P0007.mrc	2
aligned_tom292_P0008.mrc	1
aligned_tom293_P0001.mrc	1
aligned_tom294_P0001.mrc	2
aligned_tom294_P0002.mrc	2
aligned_tom294_P0003.mrc	1
aligned_tom29_P0001.mrc	1
aligned_tom2_P0001.mrc	2
aligned_tom2_P0002.mrc	1
aligned_tom30_P0001.mrc	1
aligned_tom31_P0001.mrc	1
aligned_tom32_P0001.mrc	1
aligned_tom33_P0001.mrc	2
aligned_tom34_P0001.mrc	2
aligned_tom35_P0001.mrc	2
aligned_tom35_P0002.mrc	1
aligned_tom35_P0003.mrc	2
aligned_tom36_P0001.mrc	2
aligned_tom36_P0002.mrc	1
aligned_tom37_P0001.mrc	1
aligned_tom37_P0002.mrc	2
aligned_tom38_P0001.mrc	2
aligned_tom38_P0002.mrc	1
aligned_tom38_P0003.mrc	1
aligned_tom39_P0001.mrc	1
aligned_tom3_P0001.mrc	2
aligned_tom3_P0002.mrc	2
aligned_tom3_P0003.mrc	1
aligned_tom3_P0004.mrc	1
aligned_tom3_P0005.mrc	2
aligned_tom40_P0001.mrc	1
aligned_tom41_P0001.mrc	2
aligned_tom41_P0002.mrc	2
aligned_tom42_P0001.mrc	2
aligned_tom43_P0001.mrc	1
aligned_tom43_P0002.mrc	1
aligned_tom43_P0003.mrc	2
aligned_tom43_P0004.mrc	2
aligned_tom43_P0005.mrc	1
aligned_tom44_P0001.mrc	2
aligned_tom45_P0001.mrc	2
aligned_tom46_P0001.mrc	2
aligned_tom46_P0002.mrc	1
aligned_tom46_P0003.mrc	2
aligned_tom47_P0001.mrc	1
aligned_tom47_P0002.mrc	1
aligned_tom47_P0003.mrc	1
aligned_tom47_P0004.mrc	2
aligned_tom47_P0005.mrc	1
aligned_tom48_P0001.mrc	2
aligned_tom48_P0002.mrc	1
aligned_tom49_P0001.mrc	2
aligned_tom49_P0002.mrc	2
aligned_tom4_P0001.mrc	1
aligned_tom4_P0002.mrc	1
aligned_tom4_P0003.mrc	2
aligned_tom50_P0001.mrc	1
aligned_tom50_P0002.mrc	2
aligned_tom51_P0001.mrc	2
aligned_tom51_P0002.mrc	2
aligned_tom52_P0001.mrc	1
aligned_tom52_P0002.mrc	1
aligned_tom53_P0001.mrc	1
aligned_tom53_P0002.mrc	1
aligned_tom53_P0003.mrc	1
aligned_tom53_P0004.mrc	1
aligned_tom53_P0005.mrc	1
aligned_tom54_P0001.mrc	1
aligned_tom55_P0001.mrc	1
aligned_tom55_P0002.mrc	2
aligned_tom56_P0001.mrc	2
aligned_tom57_P0001.mrc	2
aligned_tom57_P0002.mrc	1
aligned_tom58_P0001.mrc	2
aligned_tom58_P0002.mrc	1
aligned_tom59_P0001.mrc	1
aligned_tom59_P0002.mrc	1
aligned_tom5_P0001.mrc	1
aligned_tom60_P0001.mrc	1
aligned_tom61_P0001.mrc	2
aligned_tom62_P0001.mrc	1
aligned_tom63_P0001.mrc	1
aligned_tom63_P0002.mrc	2
aligned_tom64_P0001.mrc	1
aligned_tom65_P0001.mrc	1
aligned_tom66_P0001.mrc	1
aligned_tom66_P0002.mrc	1
aligned_tom67_P0001.mrc	1
aligned_tom67_P0002.mrc	2
aligned_tom67_P0003.mrc	1
aligned_tom67_P0004.mrc	1
aligned_tom67_P0005.mrc	2
aligned_tom68_P0001.mrc	2
aligned_tom68_P0002.mrc	2
aligned_tom69_P0001.mrc	2
aligned_tom69_P0002.mrc	1
aligned_tom69_P0003.mrc	2
aligned_tom69_P0004.mrc	1
aligned_tom6_P0001.mrc	1
aligned_tom6_P0002.mrc	1
aligned_tom6_P0003.mrc	1
aligned_tom70_P0001.mrc	2
aligned_tom70_P0002.mrc	2
aligned_tom70_P0003.mrc	1
aligned_tom70_P0004.mrc	1
aligned_tom70_P0005.mrc	1
aligned_tom71_P0001.mrc	2
aligned_tom71_P0002.mrc	1
aligned_tom71_P0003.mrc	2
aligned_tom71_P0004.mrc	1
aligned_tom72_P0001.mrc	1
aligned_tom73_P0001.mrc	2
aligned_tom73_P0002.mrc	1
aligned_tom74_P0001.mrc	2
aligned_tom74_P0002.mrc	2
aligned_tom75_P0001.mrc	2
aligned_tom75_P0002.mrc	1
aligned_tom75_P0003.mrc	1
aligned_tom76_P0001.mrc	1
aligned_tom76_P0002.mrc	1
aligned_tom77_P0001.mrc	1
aligned_tom78_P0001.mrc	2
aligned_tom79_P0001.mrc	2
aligned_tom7_P0001.mrc	2
aligned_tom80_P0001.mrc	1
aligned_tom80_P0002.mrc	1
aligned_tom80_P0003.mrc	2
aligned_tom81_P0001.mrc	1
aligned_tom81_P0002.mrc	1
aligned_tom81_P0003.mrc	2
aligned_tom82_P0001.mrc	2
aligned_tom82_P0002.mrc	1
aligned_tom82_P0003.mrc	1
aligned_tom82_P0004.mrc	2
aligned_tom83_P0001.mrc	1
aligned_tom84_P0001.mrc	1
aligned_tom84_P0002.mrc	1
aligned_tom85_P0001.mrc	1
aligned_tom85_P0002.mrc	2
aligned_tom85_P0003.mrc	1
aligned_tom85_P0004.mrc	1
aligned_tom86_P0001.mrc	1
aligned_tom86_P0002.mrc	1
aligned_tom86_P0003.mrc	1
aligned_tom86_P0004.mrc	1
aligned_tom86_P0005.mrc	1
aligned_tom86_P0006.mrc	2
aligned_tom87_P0001.mrc	1
aligned_tom87_P0002.mrc	1
aligned_tom88_P0001.mrc	1
aligned_tom89_P0001.mrc	2
aligned_tom89_P0002.mrc	1
aligned_tom8_P0001.mrc	2
aligned_tom90_P0001.mrc	1
aligned_tom91_P0001.mrc	1
aligned_tom92_P0001.mrc	1
aligned_tom93_P0001.mrc	1
aligned_tom93_P0002.mrc	1
aligned_tom93_P0003.mrc	1
aligned_tom94_P0001.mrc	1
aligned_tom94_P0002.mrc	1
aligned_tom94_P0003.mrc	1
aligned_tom95_P0001.mrc	2
aligned_tom95_P0002.mrc	1
aligned_tom96_P0001.mrc	1
aligned_tom97_P0001.mrc	2
aligned_tom97_P0002.mrc	1
aligned_tom97_P0003.mrc	1
aligned_tom98_P0001.mrc	2
aligned_tom98_P0002.mrc	1
aligned_tom98_P0003.mrc	2
aligned_tom99_P0001.mrc	2
aligned_tom9_P0001.mrc	2
